ko00010	Glycolysis / Gluconeogenesis
ko00020	Citrate cycle (TCA cycle)
ko00030	Pentose phosphate pathway
ko00040	Pentose and glucuronate interconversions
ko00051	Fructose and mannose metabolism
ko00052	Galactose metabolism
ko00053	Ascorbate and aldarate metabolism
ko00500	Starch and sucrose metabolism
ko00520	Amino sugar and nucleotide sugar metabolism
ko00620	Pyruvate metabolism
ko00630	Glyoxylate and dicarboxylate metabolism
ko00640	Propanoate metabolism
ko00650	Butanoate metabolism
ko00660	C5-Branched dibasic acid metabolism
ko00562	Inositol phosphate metabolism
ko00190	Oxidative phosphorylation
ko00195	Photosynthesis
ko00196	Photosynthesis - antenna proteins
ko00710	Carbon fixation in photosynthetic organisms
ko00720	Carbon fixation pathways in prokaryotes
ko00680	Methane metabolism
ko00910	Nitrogen metabolism
ko00920	Sulfur metabolism
ko00061	Fatty acid biosynthesis
ko00071	Fatty acid metabolism
ko00072	Synthesis and degradation of ketone bodies
ko00120	Primary bile acid biosynthesis
ko00121	Secondary bile acid biosynthesis
ko00561	Glycerolipid metabolism
ko00564	Glycerophospholipid metabolism
ko00591	Linoleic acid metabolism
ko00592	alpha-Linolenic acid metabolism
ko01040	Biosynthesis of unsaturated fatty acids
ko00230	Purine metabolism
ko00240	Pyrimidine metabolism
ko00250	Alanine, aspartate and glutamate metabolism
ko00260	Glycine, serine and threonine metabolism
ko00270	Cysteine and methionine metabolism
ko00280	Valine, leucine and isoleucine degradation
ko00290	Valine, leucine and isoleucine biosynthesis
ko00300	Lysine biosynthesis
ko00310	Lysine degradation
ko00330	Arginine and proline metabolism
ko00340	Histidine metabolism
ko00350	Tyrosine metabolism
ko00360	Phenylalanine metabolism
ko00380	Tryptophan metabolism
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis
ko00410	beta-Alanine metabolism
ko00430	Taurine and hypotaurine metabolism
ko00440	Phosphonate and phosphinate metabolism
ko00450	Selenocompound metabolism
ko00460	Cyanoamino acid metabolism
ko00471	D-Glutamine and D-glutamate metabolism
ko00472	D-Arginine and D-ornithine metabolism
ko00473	D-Alanine metabolism
ko00480	Glutathione metabolism
ko00531	Glycosaminoglycan degradation
ko00603	Glycosphingolipid biosynthesis - globo series
ko00604	Glycosphingolipid biosynthesis - ganglio series
ko00540	Lipopolysaccharide biosynthesis
ko00550	Peptidoglycan biosynthesis
ko00511	Other glycan degradation
ko00730	Thiamine metabolism
ko00740	Riboflavin metabolism
ko00750	Vitamin B6 metabolism
ko00760	Nicotinate and nicotinamide metabolism
ko00770	Pantothenate and CoA biosynthesis
ko00780	Biotin metabolism
ko00785	Lipoic acid metabolism
ko00790	Folate biosynthesis
ko00670	One carbon pool by folate
ko00860	Porphyrin and chlorophyll metabolism
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis
ko00900	Terpenoid backbone biosynthesis
ko00906	Carotenoid biosynthesis
ko00908	Zeatin biosynthesis
ko00903	Limonene and pinene degradation
ko00281	Geraniol degradation
ko01056	Biosynthesis of type II polyketide backbone
ko00253	Tetracycline biosynthesis
ko00523	Polyketide sugar unit biosynthesis
ko01053	Biosynthesis of siderophore group nonribosomal peptides
ko00940	Phenylpropanoid biosynthesis
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis
ko00941	Flavonoid biosynthesis
ko00944	Flavone and flavonol biosynthesis
ko00901	Indole alkaloid biosynthesis
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis
ko00232	Caffeine metabolism
ko00965	Betalain biosynthesis
ko00311	Penicillin and cephalosporin biosynthesis
ko00312	beta-Lactam resistance
ko00521	Streptomycin biosynthesis
ko00401	Novobiocin biosynthesis
ko00362	Benzoate degradation
ko00627	Aminobenzoate degradation
ko00364	Fluorobenzoate degradation
ko00625	Chloroalkane and chloroalkene degradation
ko00361	Chlorocyclohexane and chlorobenzene degradation
ko00623	Toluene degradation
ko00622	Xylene degradation
ko00633	Nitrotoluene degradation
ko00642	Ethylbenzene degradation
ko00643	Styrene degradation
ko00791	Atrazine degradation
ko00930	Caprolactam degradation
ko00351	DDT degradation
ko00363	Bisphenol degradation
ko00621	Dioxin degradation
ko00626	Naphthalene degradation
ko00624	Polycyclic aromatic hydrocarbon degradation
ko00365	Furfural degradation
ko00984	Steroid degradation
ko00980	Metabolism of xenobiotics by cytochrome P450
ko00982	Drug metabolism - cytochrome P450
ko00983	Drug metabolism - other enzymes
ko03020	RNA polymerase
ko03010	Ribosome
ko00970	Aminoacyl-tRNA biosynthesis
ko03060	Protein export
ko04122	Sulfur relay system
ko03018	RNA degradation
ko03030	DNA replication
ko03410	Base excision repair
ko03420	Nucleotide excision repair
ko03430	Mismatch repair
ko03440	Homologous recombination
ko03450	Non-homologous end-joining
ko02010	ABC transporters
ko02060	Phosphotransferase system (PTS)
ko03070	Bacterial secretion system
ko02020	Two-component system
ko04070	Phosphatidylinositol signaling system
ko04146	Peroxisome
ko02030	Bacterial chemotaxis
ko02040	Flagellar assembly
ko04112	Cell cycle - Caulobacter
ko04614	Renin-angiotensin system
ko04973	Carbohydrate digestion and absorption
ko04964	Proximal tubule bicarbonate reclamation
ko05204	Chemical carcinogenesis
ko05111	Vibrio cholerae pathogenic cycle
ko05131	Shigellosis
ko05134	Legionellosis
ko05150	Staphylococcus aureus infection
